city,date,sum,mean
41001,20200101,47057.15,485.12524
41001,20200102,55932.457,576.6233
41001,20200103,48953.473,504.675
41001,20200104,52638.215,542.662
41001,20200105,47468.1,489.36188
41001,20200106,53493.88,551.4833
41001,20200107,51370.957,529.5975
41001,20200108,53623.703,552.82166
41001,20200109,52323.926,539.42194
41001,20200110,48730.863,502.38004
41001,20200111,34177.492,352.34528
41001,20200112,27715.824,285.73013
41001,20200113,33422.08,344.5575
41001,20200114,36164.684,372.8318
41001,20200115,41960.0,432.57733
41001,20200116,42622.17,439.40384
41001,20200117,42081.28,433.82764
41001,20200118,38079.016,392.56717
41001,20200119,31140.94,321.04062
41001,20200120,32740.07,337.5265
41001,20200121,31078.396,320.39584
41001,20200122,31086.553,320.47992
41001,20200123,31694.865,326.7512
41001,20200124,34328.426,353.9013
41001,20200125,35728.61,368.33618
41001,20200126,39452.14,406.7231
41001,20200127,46080.824,475.06006
41001,20200128,48234.938,497.2674
41001,20200129,49761.22,513.00226
41001,20200130,52340.16,539.5893
41001,20200131,60558.902,624.3186
41003,20200101,18512.816,1157.051
41003,20200102,20229.826,1264.3641
41003,20200103,16864.377,1054.0236
41003,20200104,18837.518,1177.3448
41003,20200105,18082.422,1130.1514
41003,20200106,19732.305,1233.269
41003,20200107,18993.922,1187.1201
41003,20200108,20196.395,1262.2747
41003,20200109,19548.79,1221.7993
41003,20200110,17028.541,1064.2838
41003,20200111,12121.764,757.6102
41003,20200112,10228.297,639.26855
41003,20200113,12258.964,766.18524
41003,20200114,12932.058,808.2536
41003,20200115,14841.58,927.59875
41003,20200116,15499.786,968.73663
41003,20200117,15963.689,997.7306
41003,20200118,14934.008,933.3755
41003,20200119,12680.801,792.55005
41003,20200120,13179.5,823.71875
41003,20200121,12397.543,774.84644
41003,20200122,12023.594,751.4746
41003,20200123,11752.926,734.55786
41003,20200124,12182.086,761.3804
41003,20200125,13047.705,815.48157
41003,20200126,15089.98,943.1238
41003,20200127,17188.162,1074.2601
41003,20200128,18077.363,1129.8352
41003,20200129,19155.607,1197.2255
41003,20200130,19938.84,1246.1775
41003,20200131,22207.953,1387.9971
41005,20200101,90040.914,1731.556
41005,20200102,97773.88,1880.267
41005,20200103,83448.32,1604.7754
41005,20200104,92215.75,1773.3798
41005,20200105,89547.84,1722.074
41005,20200106,96394.84,1853.747
41005,20200107,93229.58,1792.8765
41005,20200108,96240.27,1850.7745
41005,20200109,95166.57,1830.1263
41005,20200110,84261.92,1620.4216
41005,20200111,62185.31,1195.8713
41005,20200112,54050.035,1039.4237
41005,20200113,63331.72,1217.9177
41005,20200114,66594.055,1280.6549
41005,20200115,74506.664,1432.8204
41005,20200116,78192.37,1503.6993
41005,20200117,79967.85,1537.8433
41005,20200118,74362.73,1430.0525
41005,20200119,64416.043,1238.77
41005,20200120,67327.945,1294.7682
41005,20200121,64211.11,1234.829
41005,20200122,61880.246,1190.0048
41005,20200123,61545.11,1183.5598
41005,20200124,63278.137,1216.8872
41005,20200125,66186.625,1272.8197
41005,20200126,75715.016,1456.058
41005,20200127,85275.6,1639.9154
41005,20200128,89365.58,1718.5688
41005,20200129,94783.195,1822.7538
41005,20200130,98272.22,1889.8503
41005,20200131,107162.79,2060.8228
41007,20200101,16095.536,670.64734
41007,20200102,18434.22,768.0925
41007,20200103,15759.623,656.65094
41007,20200104,17239.854,718.3272
41007,20200105,15963.443,665.1435
