city,date,sum,mean
Delaware,20200101,6806.199,109.777405
Delaware,20200102,8221.72,132.60838
Delaware,20200103,8932.162,144.06712
Delaware,20200104,8350.784,134.69006
Delaware,20200105,8373.792,135.06116
Delaware,20200106,8451.716,136.318
Delaware,20200107,8381.242,135.18132
Delaware,20200108,7108.5264,114.65365
Delaware,20200109,8323.531,134.2505
Delaware,20200110,8574.01,138.29048
Delaware,20200111,7124.8325,114.91666
Delaware,20200112,6993.535,112.79896
Delaware,20200113,7913.586,127.63848
Delaware,20200114,8222.593,132.62247
Delaware,20200115,8340.516,134.52444
Delaware,20200116,8620.52,139.04063
Delaware,20200117,8829.606,142.41301
Delaware,20200118,7196.8394,116.07806
Delaware,20200119,6601.018,106.46803
Delaware,20200120,7817.716,126.09219
Delaware,20200121,8450.521,136.29874
Delaware,20200122,8192.509,132.13724
Delaware,20200123,8596.383,138.65134
Delaware,20200124,8759.133,141.27634
Delaware,20200125,7470.339,120.489334
Delaware,20200126,7031.7817,113.41583
Delaware,20200127,7999.54,129.02484
Delaware,20200128,8251.242,133.08455
Delaware,20200129,8295.815,133.80348
Delaware,20200130,8769.095,141.43701
Delaware,20200131,8831.813,142.44861
Washington,20200101,81507.5,37.032032
Washington,20200102,98459.03,44.733772
Washington,20200103,106966.92,48.59924
Washington,20200104,100004.63,45.435997
Washington,20200105,100280.164,45.561184
Washington,20200106,101213.34,45.985165
Washington,20200107,100369.39,45.601723
Washington,20200108,85128.0,38.676964
Washington,20200109,99678.266,45.287716
Washington,20200110,102677.89,46.650562
Washington,20200111,85323.28,38.76569
Washington,20200112,83750.94,38.05131
Washington,20200113,94768.99,43.057243
Washington,20200114,98469.484,44.73852
Washington,20200115,99881.67,45.38013
Washington,20200116,103234.84,46.90361
Washington,20200117,105738.78,48.041245
Washington,20200118,86185.59,39.15747
Washington,20200119,79050.34,35.91565
Washington,20200120,93620.89,42.535614
Washington,20200121,101199.03,45.97866
Washington,20200122,98109.23,44.57484
Washington,20200123,102945.8,46.772285
Washington,20200124,104894.8,47.65779
Washington,20200125,89460.88,40.64556
Washington,20200126,84208.95,38.259407
Washington,20200127,95798.33,43.52491
Washington,20200128,98812.58,44.8944
Washington,20200129,99346.36,45.13692
Washington,20200130,105014.1,47.711994
Washington,20200131,105765.2,48.05325
Nevada,20200101,110835.34,36.773506
Nevada,20200102,133886.33,44.421474
Nevada,20200103,145455.53,48.259964
Nevada,20200104,135988.1,45.11881
Nevada,20200105,136362.75,45.243114
Nevada,20200106,137631.72,45.66414
Nevada,20200107,136484.08,45.28337
Nevada,20200108,115758.58,38.40696
Nevada,20200109,135544.27,44.971554
Nevada,20200110,139623.2,46.324886
Nevada,20200111,116024.11,38.49506
Nevada,20200112,113886.016,37.78567
Nevada,20200113,128868.555,42.756653
Nevada,20200114,133900.56,44.426197
Nevada,20200115,135820.88,45.063328
Nevada,20200116,140380.58,46.57617
Nevada,20200117,143785.47,47.705864
Nevada,20200118,117196.7,38.88411
Nevada,20200119,107494.08,35.664925
Nevada,20200120,127307.36,42.238674
Nevada,20200121,137612.23,45.657677
Nevada,20200122,133410.67,44.26366
Nevada,20200123,139987.52,46.44576
Nevada,20200124,142637.81,47.32509
Nevada,20200125,121650.5,40.361813
Nevada,20200126,114508.83,37.992313
Nevada,20200127,130268.27,43.221058
Nevada,20200128,134367.1,44.580986
Nevada,20200129,135092.95,44.821815
Nevada,20200130,142800.03,47.37891
Nevada,20200131,143821.4,47.717785
Wisconsin,20200101,76716.6,39.89423
Wisconsin,20200102,92671.74,48.191235
Wisconsin,20200103,100679.55,52.355457
Wisconsin,20200104,94126.5,48.94774
Wisconsin,20200105,94385.83,49.082596
Wisconsin,20200106,95264.16,49.53934
Wisconsin,20200107,94469.81,49.126266
Wisconsin,20200108,80124.3,41.6663
Wisconsin,20200109,93819.31,48.787994
Wisconsin,20200110,96642.62,50.256172
Wisconsin,20200111,80308.09,41.76188
Wisconsin,20200112,78828.164,40.992287
Wisconsin,20200113,89198.59,46.385124
Wisconsin,20200114,92681.59,48.196358
Wisconsin,20200115,94010.766,48.887554
Wisconsin,20200116,97166.84,50.528778
Wisconsin,20200117,99523.59,51.754337
Wisconsin,20200118,81119.72,42.18394
Wisconsin,20200119,74403.875,38.691563
Wisconsin,20200120,88117.984,45.823185
Wisconsin,20200121,95250.69,49.532337
Wisconsin,20200122,92342.49,48.020016
Wisconsin,20200123,96894.78,50.387302
Wisconsin,20200124,98729.23,51.34125
Wisconsin,20200125,84202.5,43.787052
Wisconsin,20200126,79259.266,41.216465
Wisconsin,20200127,90167.44,46.888943
Wisconsin,20200128,93004.51,48.364277
Wisconsin,20200129,93506.92,48.625546
Wisconsin,20200130,98841.516,51.399643
Wisconsin,20200131,99548.45,51.767265
Minnesota,20200101,80109.45,30.576128
Minnesota,20200102,96769.19,36.934803
Minnesota,20200103,105129.83,40.12589
Minnesota,20200104,98286.52,37.51394
Minnesota,20200105,98557.85,37.6175
Minnesota,20200106,99475.69,37.96782
Minnesota,20200107,98646.09,37.65118
