city,date,sum,mean
Nebraska,20200201,902260.4,417.71313
Nebraska,20200202,748362.5,346.4641
Nebraska,20200203,831957.06,385.1653
Nebraska,20200204,832605.7,385.4656
Nebraska,20200205,897002.2,415.27878
Nebraska,20200206,922678.2,427.16583
Nebraska,20200207,965849.75,447.15265
Nebraska,20200208,975488.06,451.61484
Nebraska,20200209,898913.25,416.16354
Nebraska,20200210,1319723.9,610.9833
Nebraska,20200211,1146389.5,530.7359
Nebraska,20200212,1206169.4,558.41174
Nebraska,20200213,1107327.2,512.6515
Nebraska,20200214,1175527.5,544.2257
Nebraska,20200215,1023057.2,473.63757
Nebraska,20200216,968552.3,448.40384
Nebraska,20200217,1019077.75,471.79526
Nebraska,20200218,1281004.5,593.0576
Nebraska,20200219,1408039.6,651.8702
Nebraska,20200220,1350181.5,625.08405
Nebraska,20200221,1492033.4,690.75616
Nebraska,20200222,1337777.8,619.34155
Nebraska,20200223,1027668.4,475.7724
Nebraska,20200224,982274.5,454.7567
Nebraska,20200225,856523.9,396.53882
Nebraska,20200226,768829.6,355.93964
Nebraska,20200227,827416.3,383.0631
Nebraska,20200228,895012.7,414.35773
Nebraska,20200229,943778.0,436.93427
West Virginia,20200201,397786.5,617.6809
West Virginia,20200202,323427.75,502.217
West Virginia,20200203,361776.44,561.76465
West Virginia,20200204,383363.97,595.28564
West Virginia,20200205,320728.3,498.02533
West Virginia,20200206,307750.88,477.87402
West Virginia,20200207,295315.56,458.56454
West Virginia,20200208,250163.31,388.45236
West Virginia,20200209,232373.94,360.8291
West Virginia,20200210,286571.44,444.9867
West Virginia,20200211,304151.94,472.2856
West Virginia,20200212,338837.22,526.1448
West Virginia,20200213,367594.7,570.7992
West Virginia,20200214,403580.84,626.67834
West Virginia,20200215,382184.7,593.45447
West Virginia,20200216,376485.3,584.6045
West Virginia,20200217,353510.75,548.92975
West Virginia,20200218,383178.9,594.9983
West Virginia,20200219,380448.88,590.7591
West Virginia,20200220,414019.38,642.8872
West Virginia,20200221,484661.62,752.58014
West Virginia,20200222,499214.62,775.178
West Virginia,20200223,422923.5,656.7135
West Virginia,20200224,461839.44,717.14197
West Virginia,20200225,458251.44,711.57056
West Virginia,20200226,396078.66,615.029
West Virginia,20200227,386976.66,600.89545
West Virginia,20200228,360670.5,560.04736
West Virginia,20200229,469086.38,728.395
Iowa,20200201,814604.6,515.5726
Iowa,20200202,708202.9,448.22968
Iowa,20200203,788682.9,499.16638
Iowa,20200204,860882.5,544.86237
Iowa,20200205,897675.44,568.149
Iowa,20200206,835829.9,529.0062
Iowa,20200207,992930.6,628.43713
Iowa,20200208,1052176.5,665.9345
Iowa,20200209,843781.6,534.039
Iowa,20200210,1218794.8,771.3891
Iowa,20200211,1006047.44,636.7389
Iowa,20200212,1137386.9,719.8651
Iowa,20200213,1118964.8,708.20557
Iowa,20200214,1119251.4,708.38696
Iowa,20200215,843566.0,533.9025
Iowa,20200216,799165.25,505.80078
Iowa,20200217,759308.4,480.57492
Iowa,20200218,937171.3,593.1464
Iowa,20200219,992444.75,628.1296
Iowa,20200220,905068.25,572.828
Iowa,20200221,1056374.2,668.5913
Iowa,20200222,870568.4,550.9926
Iowa,20200223,695035.6,439.89597
Iowa,20200224,733808.1,464.43552
Iowa,20200225,628250.5,397.6269
Iowa,20200226,551616.5,349.12436
Iowa,20200227,593961.56,375.92505
Iowa,20200228,738260.6,467.25357
Iowa,20200229,978136.06,619.0735
Virginia,20200201,860359.9,758.69476
Virginia,20200202,706948.44,623.4113
Virginia,20200203,764541.0,674.1984
