city,date,sum,mean
Puerto Rico,20200201,139180.1,1231.6823
Puerto Rico,20200202,131999.14,1168.134
Puerto Rico,20200203,135887.97,1202.5483
Puerto Rico,20200204,138553.44,1226.1366
Puerto Rico,20200205,139914.44,1238.1809
Puerto Rico,20200206,139564.31,1235.0824
Puerto Rico,20200207,136957.78,1212.0157
Puerto Rico,20200208,133209.08,1178.8414
Puerto Rico,20200209,127616.94,1129.3534
Puerto Rico,20200210,139824.03,1237.3809
Puerto Rico,20200211,144926.84,1282.5385
Puerto Rico,20200212,145464.81,1287.2992
Puerto Rico,20200213,143525.75,1270.1394
Puerto Rico,20200214,141666.47,1253.6855
Puerto Rico,20200215,134749.64,1192.4747
Puerto Rico,20200216,129779.77,1148.4935
Puerto Rico,20200217,142226.98,1258.6459
Puerto Rico,20200218,144358.36,1277.5076
Puerto Rico,20200219,142935.03,1264.9117
Puerto Rico,20200220,139809.53,1237.2524
Puerto Rico,20200221,138840.12,1228.6737
Puerto Rico,20200222,133515.31,1181.5514
Puerto Rico,20200223,127417.5,1127.5885
Puerto Rico,20200224,139761.5,1236.8274
Puerto Rico,20200225,142673.75,1262.5996
Puerto Rico,20200226,141136.52,1248.9957
Puerto Rico,20200227,141033.31,1248.0824
Puerto Rico,20200228,137954.66,1220.8376
Puerto Rico,20200229,131746.16,1165.8951
Ohio,20200201,4886241.5,3953.2698
Ohio,20200202,3811790.5,3083.973
Ohio,20200203,4293462.0,3473.6748
Ohio,20200204,4179184.5,3381.2173
Ohio,20200205,4068281.0,3291.4895
Ohio,20200206,4303843.0,3482.0737
Ohio,20200207,3877589.2,3137.2083
Ohio,20200208,3674025.0,2972.5122
Ohio,20200209,3419963.5,2766.9607
Ohio,20200210,4099532.2,3316.7737
Ohio,20200211,4282834.0,3465.0762
Ohio,20200212,3720130.0,3009.814
Ohio,20200213,3935368.0,3183.9546
Ohio,20200214,4331007.5,3504.0513
Ohio,20200215,3752466.8,3035.9763
Ohio,20200216,3698433.2,2992.26
Ohio,20200217,3786977.0,3063.8972
Ohio,20200218,3506788.2,2837.2073
